,RPM (1/s),L/S Ratio,FlowRate (kg/hr),Temperature,nCE,Granulator diameter (mm),L/D Ratio,SA of KE,n KE,Intial D50,Binder Viscosity (mPa.s),Flowability (HR),Bulk Density,nKZ,dKZ,MRT,Exp Fill level,Torque,d50,Beta,Regime,DetTorque,RanTorque,DetMRT,RanMRT,Calc Fill level,Calc Fill volume,Calc Beta,Torque / Fill Volume
82,350,0.109573241,5.202000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,26.1,21.2,,,,,2.433686511,2.109888073,26.1,26.1,0.248491028846751,51972.75846225778,0.009365238955970846,46826.19477985423
83,350,0.111111111,1.1340000000000001,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,53.3,9.0,,,,,2.307914189,2.714345615,53.3,53.3,0.11062164761093282,23136.900348727333,0.01995007243160771,99750.36215803855
84,350,0.109350238,3.786,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,26.2,17.3,,,,,2.332151262,3.6272854910000003,26.2,26.2,0.18154394141511696,37970.543489009004,0.012284002533042843,61420.01266521421
85,350,0.109601449,6.624,35.0,37.5,16,40,60,12,60.0,0.1,1.2,1602,2,8.5,22.9,22.7,,,,,2.5173674,5.155712311,22.9,22.9,0.27762314206702193,58065.84073938919,0.00867073435239984,43353.6717619992
86,100,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,41.14,13.48314607,,,,,3.3240799869999997,4.55195591,41.14,41.14,0.16355530433378251,20705.767875836027,0.032107768298506395,160538.84149253197
87,300,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,20.1,6.557377048999999,,,,,3.01538013,2.439152378,20.1,20.1,0.07990913021655394,10116.332870790087,0.0596140947221421,298070.4736107105
88,500,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,16.45,5.3571428569999995,,,,,2.7928335310000003,3.2910832389999998,16.45,16.45,0.06539826826180654,8279.287349477454,0.06746555381185725,337327.7690592862
89,900,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,12.3,4.013377926,,,,,2.363346014,1.9945020619999998,12.3,12.3,0.04889961699818973,6190.591756752144,0.07635283045186347,381764.15225931734
90,100,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,30.75,20.83333333,,,,,3.3423051860000004,3.8051721880000002,30.75,30.75,0.2444980849909486,30952.958783760714,0.0215960303462396,107980.15173119801
91,300,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,18.4,12.5,,,,,3.076657188,5.002739767,18.4,18.4,0.14630129313279525,18521.44525597389,0.03322264699627214,166113.23498136073
92,500,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,14.2,9.652509653,,,,,2.851385788,1.946228834,14.2,14.2,0.1129064327437876,14293.724056240713,0.039897031407361894,199485.15703680948
93,900,0.09,2.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,11.5,7.507507508,,,,,2.429081837,2.777959413,11.5,11.5,0.09143830820799703,11575.90328498368,0.0419679013758005,209839.50687900247
94,100,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,25.35,25.51724138,,,,,3.385251764,1.9268720680000002,25.35,25.35,0.3023427538790511,38275.975861869956,0.01768865032320362,88443.2516160181
95,300,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,17.0,17.12962963,,,,,3.139420501,4.0703873,17.0,17.0,0.20275450950468912,25668.307284094255,0.024461453310911454,122307.26655455727
96,500,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,12.4,12.45791246,,,,,2.912167428,2.379371849,12.4,12.4,0.14789152457989085,18722.76531310404,0.031108304561845657,155541.52280922828
97,900,0.09,3.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,9.45,9.511568123,,,,,2.488624931,2.6729787,9.45,9.45,0.1127076538129007,14268.559049099451,0.03488263842811889,174413.19214059444
98,100,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,41.14,13.48314607,,,,,3.3240799869999997,1.2870636,41.14,41.14,0.16355530433378251,20705.767875836027,0.032107768298506395,160538.84149253197
99,300,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,20.1,6.557377048999999,,,,,3.01538013,3.3691691360000005,20.1,20.1,0.07990913021655394,10116.332870790087,0.0596140947221421,298070.4736107105
100,500,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,16.45,5.3571428569999995,,,,,2.7928335310000003,2.1893798540000002,16.45,16.45,0.06539826826180654,8279.287349477454,0.06746555381185725,337327.7690592862
101,900,0.09,1.0,25.0,15.0,16,25,60,16,170.0,0.565,1.2,1180,2,7.0,12.3,4.013377926,,,,,2.363346014,3.4942585569999998,12.3,12.3,0.04889961699818973,6190.591756752144,0.07635283045186347,381764.15225931734
102,100,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,1180,0,0.0,9.5,3.1007751939999997,,,,,3.34395651,1.937376098,9.5,9.5,0.037767996868520524,4781.41933923545,0.1398729654418765,699364.8272093824
103,300,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,1180,0,0.0,6.5,2.1201413430000002,,,,,3.1246301310000004,2.348390802,6.5,6.5,0.025841261015303513,3271.4974426347812,0.19102140140959442,955107.0070479721
104,500,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,1180,0,0.0,3.0,0.97799511,,,,,2.902826661,1.089404792,3.0,3.0,0.011926735853217003,1509.9218966006679,0.3845002403813363,1922501.2019066815
105,900,0.09,1.0,25.0,18.0,16,25,60,0,170.0,0.565,1.2,1180,0,0.0,2.7,0.880410858,,,,,2.492412751,2.7760431569999997,2.7,2.7,0.010734062267895306,1358.9297069406016,0.36681996695932745,1834099.8347966373
106,100,0.09,1.0,25.0,15.0,16,25,60,16,66.0,0.565,1.2,1520,2,7.0,47.05,17.94871795,,,,,3.0210721069999997,1.664133235,47.05,47.05,0.1452106245251655,18383.368835211924,0.032867448116619076,164337.24058309538
107,300,0.09,1.0,25.0,15.0,16,25,60,16,66.0,0.565,1.2,1520,2,7.0,27.8,10.60606061,,,,,2.72124024,0.7739683190000001,27.8,27.8,0.0857992638002041,10862.011766607688,0.05010563970047825,250528.19850239126
108,500,0.09,1.0,25.0,15.0,16,25,60,16,66.0,0.565,1.2,1520,2,7.0,25.8,9.79020979,,,,,2.506868045,1.285075328,25.8,25.8,0.07962665489371458,10080.572071168282,0.049736622630177134,248683.11315088568
